season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2026,71985,Nadia Bernard,Cal St. Northridge,BW,Jr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.38413710,A1,Midrange-Heavy Role Player,0.27040051,A7,Efficient Off-Ball Finisher,0.25376861,0.02505634,0.27040051,0.3841371,0.0,0.06663744,0.0,0.0,0.25376861
2026,78907,Rita Nazario,Cal St. Northridge,BW,So,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.59325606,A5,Two-Way Star Guard,0.19218554,A4,Combo Guard,0.12377224,0.00455541,0.0,0.0,0.59325606,0.12377224,0.19218554,0.0,0.08623074
2026,81067,Saray White,Cal St. Northridge,BW,Jr,Combo G,A4,Combo Guard,A4,Combo Guard,0.27007627,A5,Two-Way Star Guard,0.23924524,A0,Traditional Big,0.18423362,0.18423362,0.0,0.16556329,0.11371885,0.27007627,0.23924524,0.02716273,0.0
2026,80377,Aliyahna Morris,California,ACC,Fr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.43777332,A6,Low-Production Player,0.17797217,A3,Three-Point Specialist,0.16950982,0.0,0.0,0.0,0.16950982,0.43777332,0.10382247,0.17797217,0.11092222
2026,67654,Claudia Langarita,California,ACC,Sr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.37764740,A2,Two-Way Star Big,0.17570963,A1,Midrange-Heavy Role Player,0.15942232,0.13380154,0.15942232,0.17570963,0.0612557,0.0,0.0,0.3776474,0.09216341
2026,70493,Gisella Maul,California,ACC,Jr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.27667678,A0,Traditional Big,0.18209118,A4,Combo Guard,0.17840940,0.18209118,0.0,0.11232652,0.14109647,0.1784094,0.08815176,0.02124789,0.27667678
2026,78655,Lola Donez,California,ACC,So,Combo G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.51766169,A6,Low-Production Player,0.34252997,A3,Three-Point Specialist,0.07114717,0.04281515,0.0,0.0,0.07114717,0.0,0.02584602,0.34252997,0.51766169
2026,71392,Lulu Twidale,California,ACC,Jr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.44452439,A4,Combo Guard,0.30388122,A7,Efficient Off-Ball Finisher,0.15558415,0.0,0.0,0.01277234,0.44452439,0.30388122,0.08323791,0.0,0.15558415
2026,68356,Mjracle Sheppard,California,ACC,Jr,Scoring PG,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.34119209,A4,Combo Guard,0.22589727,A7,Efficient Off-Ball Finisher,0.14519244,0.09049014,0.0,0.05404711,0.0,0.22589727,0.34119209,0.14318094,0.14519244
2026,80103,Naya Ojukwu,California,ACC,Jr,PF/C,A0,Traditional Big,A0,Traditional Big,0.70679694,A2,Two-Way Star Big,0.11772562,A1,Midrange-Heavy Role Player,0.11211527,0.70679694,0.11211527,0.11772562,0.01382765,0.02806419,0.02147033,0.0,0.0
2026,70478,Sakima Walker,California,ACC,Sr,PF/C,A2,Two-Way Star Big,A2,Two-Way Star Big,0.33056853,A0,Traditional Big,0.31879549,A1,Midrange-Heavy Role Player,0.25898348,0.31879549,0.25898348,0.33056853,0.0,0.0,0.0,0.0,0.09165251
2026,80468,Taylor Barnes,California,ACC,Fr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.41872388,A6,Low-Production Player,0.14323544,A2,Two-Way Star Big,0.13727090,0.01739613,0.03274546,0.1372709,0.1095185,0.13298783,0.00812186,0.14323544,0.41872388
2026,80676,Ashleigh Battle,Campbell,CAA,Jr,Combo G,A4,Combo Guard,A4,Combo Guard,0.57183543,A6,Low-Production Player,0.39921255,A1,Midrange-Heavy Role Player,0.02895202,0.0,0.02895202,0.0,0.0,0.57183543,0.0,0.39921255,0.0
2026,78452,Ciara Alexander,Campbell,CAA,So,Wing G,A0,Traditional Big,A0,Traditional Big,0.26946955,A4,Combo Guard,0.25520344,A2,Two-Way Star Big,0.24400716,0.26946955,0.0,0.24400716,0.0,0.25520344,0.05140151,0.17991834,0.0
2026,78450,Emerson Thompson,Campbell,CAA,So,Stretch 4,A3,Three-Point Specialist,A3,Three-Point Specialist,0.47500699,A2,Two-Way Star Big,0.21104336,A7,Efficient Off-Ball Finisher,0.14501582,0.0,0.11967249,0.21104336,0.47500699,0.01155455,0.0,0.03770679,0.14501582
2026,70886,Gianni Boone,Campbell,CAA,Sr,Wing G,A4,Combo Guard,A4,Combo Guard,0.44217314,A0,Traditional Big,0.24152311,A7,Efficient Off-Ball Finisher,0.12290313,0.24152311,0.04903038,0.08723975,0.0,0.44217314,0.0,0.05713049,0.12290313
2026,71719,Hadleigh Dill,Campbell,CAA,Jr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.39786589,A6,Low-Production Player,0.33045607,A7,Efficient Off-Ball Finisher,0.14872292,0.0,0.04907972,0.0,0.39786589,0.07387541,0.0,0.33045607,0.14872292
2026,78448,Jasmine Felton,Campbell,CAA,So,Stretch 4,A2,Two-Way Star Big,A2,Two-Way Star Big,0.29252285,A7,Efficient Off-Ball Finisher,0.21997371,A3,Three-Point Specialist,0.21262011,0.0,0.01683976,0.29252285,0.21262011,0.16363122,0.09441234,0.0,0.21997371
