season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2023,67501,Jazzy Owens-Barnett,Rice,CUSA,Fr,Combo G,A4,Combo Guard,A4,Combo Guard,0.61643498,A1,Midrange-Heavy Role Player,0.1733432,A6,Low-Production Player,0.09978601,0.0,0.1733432,0.0,0.0,0.61643498,0.09018035,0.09978601,0.02025546
2023,75422,Katelyn Crosthwait,Rice,CUSA,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.39521075,A3,Three-Point Specialist,0.31526168,A2,Two-Way Star Big,0.10226631,0.0,0.04759875,0.10226631,0.31526168,0.0,0.05384143,0.08582108,0.39521075
2023,70389,Kennedy Clifton,Rice,CUSA,Fr,Wing G,A4,Combo Guard,A4,Combo Guard,0.27811298,A2,Two-Way Star Big,0.26286116,A1,Midrange-Heavy Role Player,0.25074993,0.0,0.25074993,0.26286116,0.0478829,0.27811298,0.01123951,0.12307881,0.02607471
2023,72245,Malia Fisher,Rice,CUSA,So,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.30130635,A4,Combo Guard,0.23155388,A7,Efficient Off-Ball Finisher,0.15702345,0.15482502,0.0,0.30130635,0.0,0.23155388,0.1552913,0.0,0.15702345
2023,68416,Maya Bokunewicz,Rice,CUSA,So,Combo G,A4,Combo Guard,A4,Combo Guard,0.25798942,A6,Low-Production Player,0.2138523,A1,Midrange-Heavy Role Player,0.1951058,0.01427744,0.1951058,0.0,0.01807209,0.25798942,0.18170657,0.2138523,0.11899639
2023,72218,Shelby Hayes,Rice,CUSA,Fr,PF/C,A0,Traditional Big,A0,Traditional Big,0.56632892,A1,Midrange-Heavy Role Player,0.22143708,A4,Combo Guard,0.20944767,0.56632892,0.22143708,0.00278633,0.0,0.20944767,0.0,0.0,0.0
2023,69229,Trinity Gooden,Rice,CUSA,So,Combo G,A4,Combo Guard,A4,Combo Guard,0.6311517,A0,Traditional Big,0.25608848,A6,Low-Production Player,0.06682719,0.25608848,0.0,0.0,0.0,0.6311517,0.0,0.06682719,0.04593264
2023,68290,Addie Budnik,Richmond,A10,Jr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.42179676,A7,Efficient Off-Ball Finisher,0.22615214,A4,Combo Guard,0.21222879,0.0,0.0,0.42179676,0.1235238,0.21222879,0.01629851,0.0,0.22615214
2023,68491,Angel Burgos,Richmond,A10,Sr,Combo G,A6,Low-Production Player,A6,Low-Production Player,0.40972901,A5,Two-Way Star Guard,0.31795643,A0,Traditional Big,0.13281985,0.13281985,0.0,0.06603545,0.0,0.07345926,0.31795643,0.40972901,0.0
2023,71081,Cayla Williams,Richmond,A10,So,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.42467241,A3,Three-Point Specialist,0.21637287,A2,Two-Way Star Big,0.1590457,0.0939828,0.05146642,0.1590457,0.21637287,0.0,0.0,0.42467241,0.05445981
2023,74741,Emilija Krista Grava,Richmond,A10,Sr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.46329845,A3,Three-Point Specialist,0.17917488,A0,Traditional Big,0.12759309,0.12759309,0.12152308,0.10242344,0.17917488,0.00598706,0.0,0.0,0.46329845
2023,67848,Grace Townsend,Richmond,A10,Jr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.52335615,A5,Two-Way Star Guard,0.29708994,A0,Traditional Big,0.10433114,0.10433114,0.0,0.0,0.0,0.52335615,0.29708994,0.0,0.07522277
2023,71960,Katie Hill,Richmond,A10,So,Wing G,A4,Combo Guard,A4,Combo Guard,0.2336757,A3,Three-Point Specialist,0.20448371,A0,Traditional Big,0.17534673,0.17534673,0.0,0.1636983,0.20448371,0.2336757,0.10513816,0.02258049,0.09507691
2023,68287,Kylee Lewandowski,Richmond,A10,Jr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.37345673,A2,Two-Way Star Big,0.28944757,A6,Low-Production Player,0.23076451,0.0,0.0,0.28944757,0.37345673,0.0,0.10633119,0.23076451,0.0
2023,67927,Maggie Doogan,Richmond,A10,Fr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.47270233,A3,Three-Point Specialist,0.27382119,A7,Efficient Off-Ball Finisher,0.11921578,0.0,0.0,0.47270233,0.27382119,0.02314599,0.1111147,0.0,0.11921578
2023,71195,Rachel Ullstrom,Richmond,A10,Fr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.3421501,A3,Three-Point Specialist,0.25631321,A2,Two-Way Star Big,0.1400484,0.12144832,0.0,0.1400484,0.25631321,0.0,0.11452518,0.02551479,0.3421501
2023,67846,Siobhan Ryan,Richmond,A10,Jr,Combo G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.43722527,A3,Three-Point Specialist,0.38786382,A2,Two-Way Star Big,0.08164099,0.02108828,0.0,0.08164099,0.38786382,0.0,0.0,0.07218165,0.43722527
2023,68831,Sydney Boone,Richmond,A10,So,Combo G,A4,Combo Guard,A4,Combo Guard,0.60532299,A3,Three-Point Specialist,0.18372304,A6,Low-Production Player,0.09678432,0.0,0.0,0.0488388,0.18372304,0.60532299,0.00635638,0.09678432,0.05897447
2023,70843,Torin Rogers,Richmond,A10,Fr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.31584674,A7,Efficient Off-Ball Finisher,0.21696026,A0,Traditional Big,0.18679165,0.18679165,0.01435358,0.14877973,0.11726803,0.0,0.0,0.31584674,0.21696026
